Noisy,Clean,input_text,target_text
बाहर बहुत तेज़ धूप और लू चल रही है। मेरा दोपहर में बाज़ार जाना मुमकिन नहीं है। में शाम को ठंडी हवा चलने पर ही बाहर निकलूँगा क्योंकि में अपनी सेहत से समझौता नहीं करना चाहता। क्या तुम भी तब तक इंतज़ार करोगे या तुम्हें अभी जाना ज़रूरी है?,बाहर बहुत तेज़ धूप और लू चल रही है। मेरा दोपहर में बाज़ार जाना मुमकिन नहीं है। मैं शाम को ठंडी हवा चलने पर ही बाहर निकलूँगा क्योंकि मैं अपनी सेहत से समझौता नहीं करना चाहता। क्या तुम भी तब तक इंतज़ार करोगे या तुम्हें अभी जाना ज़रूरी है?,बाहर बहुत तेज़ धूप और लू चल रही है। मेरा दोपहर में बाज़ार जाना मुमकिन नहीं है। में शाम को ठंडी हवा चलने पर ही बाहर निकलूँगा क्योंकि में अपनी सेहत से समझौता नहीं करना चाहता। क्या तुम भी तब तक इंतज़ार करोगे या तुम्हें अभी जाना ज़रूरी है? </s> <2hi>,<2hi> बाहर बहुत तेज़ धूप और लू चल रही है। मेरा दोपहर में बाज़ार जाना मुमकिन नहीं है। मैं शाम को ठंडी हवा चलने पर ही बाहर निकलूँगा क्योंकि मैं अपनी सेहत से समझौता नहीं करना चाहता। क्या तुम भी तब तक इंतज़ार करोगे या तुम्हें अभी जाना ज़रूरी है? </s>
वाह! इस कीबोर्ड की टाइपिंग कितनी स्मूथ है। क्या यह मैकेनिकल कीबोर्ड है?,वाह! इस कीबोर्ड की टाइपिंग कितनी स्मूथ है। क्या यह मैकेनिकल कीबोर्ड है?,वाह! इस कीबोर्ड की टाइपिंग कितनी स्मूथ है। क्या यह मैकेनिकल कीबोर्ड है? </s> <2hi>,<2hi> वाह! इस कीबोर्ड की टाइपिंग कितनी स्मूथ है। क्या यह मैकेनिकल कीबोर्ड है? </s>
कल और आज में बहुत बदलाव आ गया है।,कल और आज में बहुत बदलाव आ गया है।,कल और आज में बहुत बदलाव आ गया है। </s> <2hi>,<2hi> कल और आज में बहुत बदलाव आ गया है। </s>
वे लोग दिल्ली से आए हैं पर उनका सामान अभी भी रास्ते में है,"वे लोग दिल्ली से आए हैं, पर उनका सामान अभी भी रास्ते में है।",वे लोग दिल्ली से आए हैं पर उनका सामान अभी भी रास्ते में है </s> <2hi>,"<2hi> वे लोग दिल्ली से आए हैं, पर उनका सामान अभी भी रास्ते में है। </s>"
जहा रास्ता सही हो वहा चलना चाहिए क्या तुम मेरी बात समझ रहे हो,जहाँ रास्ता सही हो वहाँ चलना चाहिए। क्या तुम मेरी बात समझ रहे हो?,जहा रास्ता सही हो वहा चलना चाहिए क्या तुम मेरी बात समझ रहे हो </s> <2hi>,<2hi> जहाँ रास्ता सही हो वहाँ चलना चाहिए। क्या तुम मेरी बात समझ रहे हो? </s>
कपड़ा और लत्ता ठीक से रखो,कपड़ा और लत्ता ठीक से रखो।,कपड़ा और लत्ता ठीक से रखो </s> <2hi>,<2hi> कपड़ा और लत्ता ठीक से रखो। </s>
"जब तुम मुस्कुराते हो, तब तुम बहुत अच्छे लगते हो","जब तुम मुस्कुराते हो, तब तुम बहुत अच्छे लगते हो।","जब तुम मुस्कुराते हो, तब तुम बहुत अच्छे लगते हो </s> <2hi>","<2hi> जब तुम मुस्कुराते हो, तब तुम बहुत अच्छे लगते हो। </s>"
कभी और कही भी मिल सकते हैं,कभी और कहीं भी मिल सकते हैं।,कभी और कही भी मिल सकते हैं </s> <2hi>,<2hi> कभी और कहीं भी मिल सकते हैं। </s>
प्रथमतः उसने अपनी गलती स्वीकार की,प्रथमतः उसने अपनी गलती स्वीकार की।,प्रथमतः उसने अपनी गलती स्वीकार की </s> <2hi>,<2hi> प्रथमतः उसने अपनी गलती स्वीकार की। </s>
क्या तुम जानते हो कि स्टेशन कहा है में पहली बार इस शहर में आया हु और मुझे ट्रेन पकडनी है रास्ता बहुत सुनसान है और मुझे डर लग रहा है क्या तुम मुझे वहा छोड दोगे में तुम्हारा शुक्रिया अदा करूगा,क्या तुम जानते हो कि स्टेशन कहाँ है? मैं पहली बार इस शहर में आया हूँ और मुझे ट्रेन पकड़नी है। रास्ता बहुत सुनसान है और मुझे डर लग रहा है। क्या तुम मुझे वहाँ छोड़ दोगे? मैं तुम्हारा शुक्रिया अदा करूँगा।,क्या तुम जानते हो कि स्टेशन कहा है में पहली बार इस शहर में आया हु और मुझे ट्रेन पकडनी है रास्ता बहुत सुनसान है और मुझे डर लग रहा है क्या तुम मुझे वहा छोड दोगे में तुम्हारा शुक्रिया अदा करूगा </s> <2hi>,<2hi> क्या तुम जानते हो कि स्टेशन कहाँ है? मैं पहली बार इस शहर में आया हूँ और मुझे ट्रेन पकड़नी है। रास्ता बहुत सुनसान है और मुझे डर लग रहा है। क्या तुम मुझे वहाँ छोड़ दोगे? मैं तुम्हारा शुक्रिया अदा करूँगा। </s>
"बचाओ क्या यहाँ कोई डॉक्टर, नर्स या एम्बुलेंस मौजूद है?","बचाओ! क्या यहाँ कोई डॉक्टर, नर्स या एम्बुलेंस मौजूद है?","बचाओ क्या यहाँ कोई डॉक्टर, नर्स या एम्बुलेंस मौजूद है? </s> <2hi>","<2hi> बचाओ! क्या यहाँ कोई डॉक्टर, नर्स या एम्बुलेंस मौजूद है? </s>"
देखो! आसमान में काले बादल छा गए हैं और ऐसा लग रहा है कि तेज़ तूफ़ान आने वाला है। मैं घर की खिड़की-दरवाज़े लॉक करने में लगा हूँ। क्या तुमने अपनी बाइक शेड में खड़ी कर दी?,देखो! आसमान में काले बादल छा गए हैं और ऐसा लग रहा है कि तेज़ तूफ़ान आने वाला है। मैं घर की खिड़की-दरवाज़े लॉक करने में लगा हूँ। क्या तुमने अपनी बाइक शेड में खड़ी कर दी?,देखो! आसमान में काले बादल छा गए हैं और ऐसा लग रहा है कि तेज़ तूफ़ान आने वाला है। मैं घर की खिड़की-दरवाज़े लॉक करने में लगा हूँ। क्या तुमने अपनी बाइक शेड में खड़ी कर दी? </s> <2hi>,<2hi> देखो! आसमान में काले बादल छा गए हैं और ऐसा लग रहा है कि तेज़ तूफ़ान आने वाला है। मैं घर की खिड़की-दरवाज़े लॉक करने में लगा हूँ। क्या तुमने अपनी बाइक शेड में खड़ी कर दी? </s>
पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला।,पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला।,पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला। </s> <2hi>,<2hi> पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला। </s>
में जानता हु कि मा कहा खडी है क्या तुम उधर जाओगे,मैं जानता हूँ कि माँ कहाँ खड़ी हैं। क्या तुम उधर जाओगे?,में जानता हु कि मा कहा खडी है क्या तुम उधर जाओगे </s> <2hi>,<2hi> मैं जानता हूँ कि माँ कहाँ खड़ी हैं। क्या तुम उधर जाओगे? </s>
"मैं भीड़ में खड़ा था, पर मैं अपनी पहचान खोना नहीं चाहता था","मैं भीड़ में खड़ा था, पर मैं अपनी पहचान खोना नहीं चाहता था।","मैं भीड़ में खड़ा था, पर मैं अपनी पहचान खोना नहीं चाहता था </s> <2hi>","<2hi> मैं भीड़ में खड़ा था, पर मैं अपनी पहचान खोना नहीं चाहता था। </s>"
मा ने कहा कि जहा धूप हो वहा मत बैठो,माँ ने कहा कि जहाँ धूप हो वहाँ मत बैठो।,मा ने कहा कि जहा धूप हो वहा मत बैठो </s> <2hi>,<2hi> माँ ने कहा कि जहाँ धूप हो वहाँ मत बैठो। </s>
क्या आप मेरी मदद कर सकते हैं? मैं अपना रास्ता भटक गया हूँ।,क्या आप मेरी मदद कर सकते हैं? मैं अपना रास्ता भटक गया हूँ।,क्या आप मेरी मदद कर सकते हैं? मैं अपना रास्ता भटक गया हूँ। </s> <2hi>,<2hi> क्या आप मेरी मदद कर सकते हैं? मैं अपना रास्ता भटक गया हूँ। </s>
माउस काम नहीं कर रहा है और मेरे पास कोई एक्स्ट्रा माउस भी नहीं है अब क्या होगा?,"माउस काम नहीं कर रहा है और मेरे पास कोई एक्स्ट्रा माउस भी नहीं है, अब क्या होगा?",माउस काम नहीं कर रहा है और मेरे पास कोई एक्स्ट्रा माउस भी नहीं है अब क्या होगा? </s> <2hi>,"<2hi> माउस काम नहीं कर रहा है और मेरे पास कोई एक्स्ट्रा माउस भी नहीं है, अब क्या होगा? </s>"
मेज़ में रखे दराज़ में तुम्हारी घड़ी पड़ी है पर में उसे देख नहीं पा रहा था में अभी उसे लेकर आ रहा हु। क्या तुम्हें दफ्तर जाने के लिए देर हो रही है?,मेज़ में रखे दराज़ में तुम्हारी घड़ी पड़ी है पर मैं उसे देख नहीं पा रहा था। मैं अभी उसे लेकर आ रहा हूँ। क्या तुम्हें दफ्तर जाने के लिए देर हो रही है?,मेज़ में रखे दराज़ में तुम्हारी घड़ी पड़ी है पर में उसे देख नहीं पा रहा था में अभी उसे लेकर आ रहा हु। क्या तुम्हें दफ्तर जाने के लिए देर हो रही है? </s> <2hi>,<2hi> मेज़ में रखे दराज़ में तुम्हारी घड़ी पड़ी है पर मैं उसे देख नहीं पा रहा था। मैं अभी उसे लेकर आ रहा हूँ। क्या तुम्हें दफ्तर जाने के लिए देर हो रही है? </s>
सोना और चाँदी बहुत महंगे हैं।,सोना और चाँदी बहुत महंगे हैं।,सोना और चाँदी बहुत महंगे हैं। </s> <2hi>,<2hi> सोना और चाँदी बहुत महंगे हैं। </s>
यह दीवार सफेद है। घर की बाकी दीवारें रंगीन हे क्या,यह दीवार सफेद है। घर की बाकी दीवारें रंगीन हैं क्या?,यह दीवार सफेद है। घर की बाकी दीवारें रंगीन हे क्या </s> <2hi>,<2hi> यह दीवार सफेद है। घर की बाकी दीवारें रंगीन हैं क्या? </s>
"अरे मैंने अभी व्हाट्सएप चेक किया, पर क्या तुम्हारा मैसेज अभी तक पेंडिंग है?","अरे! मैंने अभी व्हाट्सएप चेक किया, पर क्या तुम्हारा मैसेज अभी तक पेंडिंग है?","अरे मैंने अभी व्हाट्सएप चेक किया, पर क्या तुम्हारा मैसेज अभी तक पेंडिंग है? </s> <2hi>","<2hi> अरे! मैंने अभी व्हाट्सएप चेक किया, पर क्या तुम्हारा मैसेज अभी तक पेंडिंग है? </s>"
थोडा बहुत काम करो और बाकी समय आराम करो,थोड़ा-बहुत काम करो और बाकी समय आराम करो।,थोडा बहुत काम करो और बाकी समय आराम करो </s> <2hi>,<2hi> थोड़ा-बहुत काम करो और बाकी समय आराम करो। </s>
यह फूल लाल है बगीचे के बाकी फूल पीले है क्या,यह फूल लाल है। बगीचे के बाकी फूल पीले हैं क्या?,यह फूल लाल है बगीचे के बाकी फूल पीले है क्या </s> <2hi>,<2hi> यह फूल लाल है। बगीचे के बाकी फूल पीले हैं क्या? </s>
क्या तुमने खाना खाया मा रसोई में तुम्हारा इंतजार कर रही है,क्या तुमने खाना खाया? माँ रसोई में तुम्हारा इंतज़ार कर रही हैं।,क्या तुमने खाना खाया मा रसोई में तुम्हारा इंतजार कर रही है </s> <2hi>,<2hi> क्या तुमने खाना खाया? माँ रसोई में तुम्हारा इंतज़ार कर रही हैं। </s>
यह बैग तो भारी है पर क्या वे सारे बैग्स हल्के हे,"यह बैग तो भारी है, पर क्या वे सारे बैग्स हल्के हैं?",यह बैग तो भारी है पर क्या वे सारे बैग्स हल्के हे </s> <2hi>,"<2hi> यह बैग तो भारी है, पर क्या वे सारे बैग्स हल्के हैं? </s>"
दाने दाने पर लिखा है खाने वाले का नाम।,दाने-दाने पर लिखा है खाने वाले का नाम।,दाने दाने पर लिखा है खाने वाले का नाम। </s> <2hi>,<2hi> दाने-दाने पर लिखा है खाने वाले का नाम। </s>
क्या मैं कल ऑफिस जाऊगा या फिर मेरी छुट्टी है,"क्या मैं कल ऑफिस जाऊँगा, या फिर मेरी छुट्टी है?",क्या मैं कल ऑफिस जाऊगा या फिर मेरी छुट्टी है </s> <2hi>,"<2hi> क्या मैं कल ऑफिस जाऊँगा, या फिर मेरी छुट्टी है? </s>"
क्या यह सीट बुकिंग कन्फर्म है या मेरा स्टेटस अभी भी पेंडिंग है,"क्या यह सीट बुकिंग कन्फर्म है, या मेरा स्टेटस अभी भी पेंडिंग है?",क्या यह सीट बुकिंग कन्फर्म है या मेरा स्टेटस अभी भी पेंडिंग है </s> <2hi>,"<2hi> क्या यह सीट बुकिंग कन्फर्म है, या मेरा स्टेटस अभी भी पेंडिंग है? </s>"
"वाह क्या यह वही पेंटिंग है जिसमें पहाड़, नदी और सूरज बने हैं?","वाह! क्या यह वही पेंटिंग है जिसमें पहाड़, नदी और सूरज बने हैं?","वाह क्या यह वही पेंटिंग है जिसमें पहाड़, नदी और सूरज बने हैं? </s> <2hi>","<2hi> वाह! क्या यह वही पेंटिंग है जिसमें पहाड़, नदी और सूरज बने हैं? </s>"
यह सिपाही तैनात है बाकी सभी सिपाही छुट्टी पर हैं क्या,"यह सिपाही तैनात है, बाकी सभी सिपाही छुट्टी पर हैं क्या?",यह सिपाही तैनात है बाकी सभी सिपाही छुट्टी पर हैं क्या </s> <2hi>,"<2hi> यह सिपाही तैनात है, बाकी सभी सिपाही छुट्टी पर हैं क्या? </s>"
मैं गहरे संकट में हूँ पर मैं जानता हूँ कि मेरे दोस्त साथ हैं।,मैं गहरे संकट में हूँ पर मैं जानता हूँ कि मेरे दोस्त साथ हैं।,मैं गहरे संकट में हूँ पर मैं जानता हूँ कि मेरे दोस्त साथ हैं। </s> <2hi>,<2hi> मैं गहरे संकट में हूँ पर मैं जानता हूँ कि मेरे दोस्त साथ हैं। </s>
यह तो बहुत डिम है। क्या सारी लाइट्स सही हे,यह तो बहुत डिम है। क्या सारी लाइट्स सही हैं?,यह तो बहुत डिम है। क्या सारी लाइट्स सही हे </s> <2hi>,<2hi> यह तो बहुत डिम है। क्या सारी लाइट्स सही हैं? </s>
मा ने कहा कि में वहा नहीं रहूगा क्या तुमने सुना उन्होंने क्या कहा अब तुम बताओ कि में कहा जाउ उन्होंने साफ मना कर दिया है कि वहा का माहौल अच्छा नहीं है क्या तुम मेरा साथ दोगे,माँ ने कहा कि मैं वहाँ नहीं रहूँगा। क्या तुमने सुना उन्होंने क्या कहा? अब तुम बताओ कि मैं कहाँ जाऊँ? उन्होंने साफ़ मना कर दिया है कि वहाँ का माहौल अच्छा नहीं है। क्या तुम मेरा साथ दोगे?,मा ने कहा कि में वहा नहीं रहूगा क्या तुमने सुना उन्होंने क्या कहा अब तुम बताओ कि में कहा जाउ उन्होंने साफ मना कर दिया है कि वहा का माहौल अच्छा नहीं है क्या तुम मेरा साथ दोगे </s> <2hi>,<2hi> माँ ने कहा कि मैं वहाँ नहीं रहूँगा। क्या तुमने सुना उन्होंने क्या कहा? अब तुम बताओ कि मैं कहाँ जाऊँ? उन्होंने साफ़ मना कर दिया है कि वहाँ का माहौल अच्छा नहीं है। क्या तुम मेरा साथ दोगे? </s>
यह फल कच्चा है। टोकरी के सभी फल पके हे क्या?,यह फल कच्चा है। टोकरी के सभी फल पके हैं क्या?,यह फल कच्चा है। टोकरी के सभी फल पके हे क्या? </s> <2hi>,<2hi> यह फल कच्चा है। टोकरी के सभी फल पके हैं क्या? </s>
यह दुकान बंद है बाज़ार की सभी दुकानें खुली हे क्या?,यह दुकान बंद है। बाज़ार की सभी दुकानें खुली हैं क्या?,यह दुकान बंद है बाज़ार की सभी दुकानें खुली हे क्या? </s> <2hi>,<2hi> यह दुकान बंद है। बाज़ार की सभी दुकानें खुली हैं क्या? </s>
भाई सुनो क्या तुम मेरे साथ चलोगे,"भाई, सुनो! क्या तुम मेरे साथ चलोगे?",भाई सुनो क्या तुम मेरे साथ चलोगे </s> <2hi>,"<2hi> भाई, सुनो! क्या तुम मेरे साथ चलोगे? </s>"
उफ़! यह कमरा बहुत ही उमस भरा और छोटा है।,उफ़! यह कमरा बहुत ही उमस भरा और छोटा है।,उफ़! यह कमरा बहुत ही उमस भरा और छोटा है। </s> <2hi>,<2hi> उफ़! यह कमरा बहुत ही उमस भरा और छोटा है। </s>
चुप! क्या तुम्हें समझ नहीं आता कि यहाँ शांति रखनी है?,चुप! क्या तुम्हें समझ नहीं आता कि यहाँ शांति रखनी है?,चुप! क्या तुम्हें समझ नहीं आता कि यहाँ शांति रखनी है? </s> <2hi>,<2hi> चुप! क्या तुम्हें समझ नहीं आता कि यहाँ शांति रखनी है? </s>
ऑफिस मे काम बहुत था पर में समय पर घर पहुँच गया,"ऑफिस में काम बहुत था, पर मैं समय पर घर पहुँच गया।",ऑफिस मे काम बहुत था पर में समय पर घर पहुँच गया </s> <2hi>,"<2hi> ऑफिस में काम बहुत था, पर मैं समय पर घर पहुँच गया। </s>"
क्या तुमने मैसेज पढ़ा है कल दफ्तर की छुट्टी है,क्या तुमने मैसेज पढ़ा है? कल दफ्तर की छुट्टी है।,क्या तुमने मैसेज पढ़ा है कल दफ्तर की छुट्टी है </s> <2hi>,<2hi> क्या तुमने मैसेज पढ़ा है? कल दफ्तर की छुट्टी है। </s>
वाह इस होटल में स्विमिंग पूल जिम और गार्डन काफी बड़े है में यहाँ छुट्टियाँ बिताने आया हु और में काफी खुश हु क्या तुम्हें यहाँ का खाना पसंद आया,"वाह! इस होटल में स्विमिंग पूल, जिम और गार्डन काफी बड़े हैं। मैं यहाँ छुट्टियाँ बिताने आया हूँ और मैं काफी खुश हूँ। क्या तुम्हें यहाँ का खाना पसंद आया?",वाह इस होटल में स्विमिंग पूल जिम और गार्डन काफी बड़े है में यहाँ छुट्टियाँ बिताने आया हु और में काफी खुश हु क्या तुम्हें यहाँ का खाना पसंद आया </s> <2hi>,"<2hi> वाह! इस होटल में स्विमिंग पूल, जिम और गार्डन काफी बड़े हैं। मैं यहाँ छुट्टियाँ बिताने आया हूँ और मैं काफी खुश हूँ। क्या तुम्हें यहाँ का खाना पसंद आया? </s>"
आहा! पहाड़ों की यह ताज़ा हवा मन को सुकून देती है,आहा! पहाड़ों की यह ताज़ा हवा मन को सुकून देती है।,आहा! पहाड़ों की यह ताज़ा हवा मन को सुकून देती है </s> <2hi>,<2hi> आहा! पहाड़ों की यह ताज़ा हवा मन को सुकून देती है। </s>
"माँ ने आज दाल, चावल, रोटी और आलू की सब्ज़ी बनाई है","माँ ने आज दाल, चावल, रोटी और आलू की सब्ज़ी बनाई है।","माँ ने आज दाल, चावल, रोटी और आलू की सब्ज़ी बनाई है </s> <2hi>","<2hi> माँ ने आज दाल, चावल, रोटी और आलू की सब्ज़ी बनाई है। </s>"
"यदि तुम समय पर स्टेशन पहुँच जाते, तो तुम्हारी ट्रेन कभी नहीं छूटती।","यदि तुम समय पर स्टेशन पहुँच जाते, तो तुम्हारी ट्रेन कभी नहीं छूटती।","यदि तुम समय पर स्टेशन पहुँच जाते, तो तुम्हारी ट्रेन कभी नहीं छूटती। </s> <2hi>","<2hi> यदि तुम समय पर स्टेशन पहुँच जाते, तो तुम्हारी ट्रेन कभी नहीं छूटती। </s>"
जान पहचान के लोग और रिश्तेदार सब आए थे,जान-पहचान के लोग और रिश्तेदार सब आए थे।,जान पहचान के लोग और रिश्तेदार सब आए थे </s> <2hi>,<2hi> जान-पहचान के लोग और रिश्तेदार सब आए थे। </s>
मैं बस में बैठा हूँ और मैं देख रहा हूँ कि खिड़की के बाहर पूरा शहर कितनी तेज़ी से भाग रहा है। मैं अपनी मंज़िल के बहुत करीब हूँ। क्या तुम मुझे बस स्टैंड पर लेने आओगे?,मैं बस में बैठा हूँ और मैं देख रहा हूँ कि खिड़की के बाहर पूरा शहर कितनी तेज़ी से भाग रहा है। मैं अपनी मंज़िल के बहुत करीब हूँ। क्या तुम मुझे बस स्टैंड पर लेने आओगे?,मैं बस में बैठा हूँ और मैं देख रहा हूँ कि खिड़की के बाहर पूरा शहर कितनी तेज़ी से भाग रहा है। मैं अपनी मंज़िल के बहुत करीब हूँ। क्या तुम मुझे बस स्टैंड पर लेने आओगे? </s> <2hi>,<2hi> मैं बस में बैठा हूँ और मैं देख रहा हूँ कि खिड़की के बाहर पूरा शहर कितनी तेज़ी से भाग रहा है। मैं अपनी मंज़िल के बहुत करीब हूँ। क्या तुम मुझे बस स्टैंड पर लेने आओगे? </s>
"में भीड़ में खो गया था, पर में घबराया नहीं और में सही रास्ता ढूँढने में कामयाब रहा। क्या तुम्हें पता है कि उस मेले में कितनी अफरा-तफरी मची थी हे भगवान! शुक्र है में सुरक्षित घर आ गया।","मैं भीड़ में खो गया था, पर मैं घबराया नहीं और मैं सही रास्ता ढूँढने में कामयाब रहा। क्या तुम्हें पता है कि उस मेले में कितनी अफरा-तफरी मची थी? हे भगवान! शुक्र है मैं सुरक्षित घर आ गया।","में भीड़ में खो गया था, पर में घबराया नहीं और में सही रास्ता ढूँढने में कामयाब रहा। क्या तुम्हें पता है कि उस मेले में कितनी अफरा-तफरी मची थी हे भगवान! शुक्र है में सुरक्षित घर आ गया। </s> <2hi>","<2hi> मैं भीड़ में खो गया था, पर मैं घबराया नहीं और मैं सही रास्ता ढूँढने में कामयाब रहा। क्या तुम्हें पता है कि उस मेले में कितनी अफरा-तफरी मची थी? हे भगवान! शुक्र है मैं सुरक्षित घर आ गया। </s>"
"नमस्ते! क्या मैं आपका शुभ नाम, पता और मोबाइल नंबर जान सकता हूँ","नमस्ते! क्या मैं आपका शुभ नाम, पता और मोबाइल नंबर जान सकता हूँ?","नमस्ते! क्या मैं आपका शुभ नाम, पता और मोबाइल नंबर जान सकता हूँ </s> <2hi>","<2hi> नमस्ते! क्या मैं आपका शुभ नाम, पता और मोबाइल नंबर जान सकता हूँ? </s>"
मा ने कहा कि में वहा जाउगा क्या तुम भी चलोगे,माँ ने कहा कि मैं वहाँ जाऊँगा। क्या तुम भी चलोगे?,मा ने कहा कि में वहा जाउगा क्या तुम भी चलोगे </s> <2hi>,<2hi> माँ ने कहा कि मैं वहाँ जाऊँगा। क्या तुम भी चलोगे? </s>
सावधान आगे रास्ता ऊँचा-नीचा है। क्या तुम्हारी गाड़ी ठीक है?,सावधान! आगे रास्ता ऊँचा-नीचा है। क्या तुम्हारी गाड़ी ठीक है?,सावधान आगे रास्ता ऊँचा-नीचा है। क्या तुम्हारी गाड़ी ठीक है? </s> <2hi>,<2hi> सावधान! आगे रास्ता ऊँचा-नीचा है। क्या तुम्हारी गाड़ी ठीक है? </s>
नमस्ते मेरा नाम स्नेहा है में टीचर हु और में अभी स्कूल मे हु क्या तुम अपनी कॉपी चेक करवाओगे,नमस्ते! मेरा नाम स्नेहा है। मैं टीचर हूँ और मैं अभी स्कूल में हूँ। क्या तुम अपनी कॉपी चेक करवाओगे?,नमस्ते मेरा नाम स्नेहा है में टीचर हु और में अभी स्कूल मे हु क्या तुम अपनी कॉपी चेक करवाओगे </s> <2hi>,<2hi> नमस्ते! मेरा नाम स्नेहा है। मैं टीचर हूँ और मैं अभी स्कूल में हूँ। क्या तुम अपनी कॉपी चेक करवाओगे? </s>
"समाज में स्त्री पुरुष को समान अधिकार मिलने चाहिए, तभी विकास होगा।","समाज में स्त्री-पुरुष को समान अधिकार मिलने चाहिए, तभी विकास होगा।","समाज में स्त्री पुरुष को समान अधिकार मिलने चाहिए, तभी विकास होगा। </s> <2hi>","<2hi> समाज में स्त्री-पुरुष को समान अधिकार मिलने चाहिए, तभी विकास होगा। </s>"
में थक गया हु और अब में बस सोना चाहता हु क्या तुम दरवाजा बंद कर दोगे ताकि कोई शोर न करे मुझे सुबह जल्दी उठकर गाव जाना है और बहुत सारा सामान भी पैक करना है,मैं थक गया हूँ और अब मैं बस सोना चाहता हूँ। क्या तुम दरवाजा बंद कर दोगे ताकि कोई शोर न करे? मुझे सुबह जल्दी उठकर गाँव जाना है और बहुत सारा सामान भी पैक करना है।,में थक गया हु और अब में बस सोना चाहता हु क्या तुम दरवाजा बंद कर दोगे ताकि कोई शोर न करे मुझे सुबह जल्दी उठकर गाव जाना है और बहुत सारा सामान भी पैक करना है </s> <2hi>,<2hi> मैं थक गया हूँ और अब मैं बस सोना चाहता हूँ। क्या तुम दरवाजा बंद कर दोगे ताकि कोई शोर न करे? मुझे सुबह जल्दी उठकर गाँव जाना है और बहुत सारा सामान भी पैक करना है। </s>
सावधान! यह वेबसाइट अनसेफ है अपना पासवर्ड और डेटा यहाँ शेयर मत करना।,"सावधान! यह वेबसाइट अनसेफ है, अपना पासवर्ड और डेटा यहाँ शेयर मत करना।",सावधान! यह वेबसाइट अनसेफ है अपना पासवर्ड और डेटा यहाँ शेयर मत करना। </s> <2hi>,"<2hi> सावधान! यह वेबसाइट अनसेफ है, अपना पासवर्ड और डेटा यहाँ शेयर मत करना। </s>"
हट! सामने से गाड़ियाँ ट्रक ट्रैक्टर और एम्बुलेंस तेज़ी से आ रहे हैं।,"हट! सामने से गाड़ियाँ, ट्रक, ट्रैक्टर और एम्बुलेंस तेज़ी से आ रहे हैं।",हट! सामने से गाड़ियाँ ट्रक ट्रैक्टर और एम्बुलेंस तेज़ी से आ रहे हैं। </s> <2hi>,"<2hi> हट! सामने से गाड़ियाँ, ट्रक, ट्रैक्टर और एम्बुलेंस तेज़ी से आ रहे हैं। </s>"
"सुनो! मैंने आज लंच में पनीर, दाल और रायता बनाया है।","सुनो! मैंने आज लंच में पनीर, दाल और रायता बनाया है।","सुनो! मैंने आज लंच में पनीर, दाल और रायता बनाया है। </s> <2hi>","<2hi> सुनो! मैंने आज लंच में पनीर, दाल और रायता बनाया है। </s>"
ठंडा गरम पानी और मौसम का मिजाज देखो,ठंडा-गरम पानी और मौसम का मिजाज देखो।,ठंडा गरम पानी और मौसम का मिजाज देखो </s> <2hi>,<2hi> ठंडा-गरम पानी और मौसम का मिजाज देखो। </s>
जहा रास्ता सही हो वहा चलना चाहिए क्या तुम मेरी सलाह मानोगे,जहाँ रास्ता सही हो वहाँ चलना चाहिए। क्या तुम मेरी सलाह मानोगे?,जहा रास्ता सही हो वहा चलना चाहिए क्या तुम मेरी सलाह मानोगे </s> <2hi>,<2hi> जहाँ रास्ता सही हो वहाँ चलना चाहिए। क्या तुम मेरी सलाह मानोगे? </s>
में और मा कल शहर जाएगे क्या तुम वहा मिलोगे,मैं और माँ कल शहर जाएंगे। क्या तुम वहाँ मिलोगे?,में और मा कल शहर जाएगे क्या तुम वहा मिलोगे </s> <2hi>,<2hi> मैं और माँ कल शहर जाएंगे। क्या तुम वहाँ मिलोगे? </s>
अरे क्या तुमने बैग में चार्जर लीड और पावरबैंक रख लिया है,"अरे! क्या तुमने बैग में चार्जर, लीड और पावरबैंक रख लिया है?",अरे क्या तुमने बैग में चार्जर लीड और पावरबैंक रख लिया है </s> <2hi>,"<2hi> अरे! क्या तुमने बैग में चार्जर, लीड और पावरबैंक रख लिया है? </s>"
