Noisy,Clean
मा ने कहा था कि में वहा नहीं जाउगा,माँ ने कहा था कि मैं वहाँ नहीं जाऊँगा।
रुको तुम वहा क्या कर रहे हो,रुको! तुम वहाँ क्या कर रहे हो?
सावधान आगे रास्ता बंद है क्या तुमने बोर्ड देखा,सावधान! आगे रास्ता बंद है। क्या तुमने बोर्ड देखा?
अजी सुनते हो बाजार से सब्जी लेते आना माँ ने कहा है,"अजी सुनते हो? बाज़ार से सब्जी लेते आना, माँ ने कहा है।"
अरे भाई तुम यहा कब आए मुझे पता ही नहीं चला,अरे भाई! तुम यहाँ कब आए? मुझे पता ही नहीं चला।
चुप रहो तुम बहुत बोल रहे हो क्या तुम्हे सुनाई नहीं देता,चुप रहो! तुम बहुत बोल रहे हो। क्या तुम्हें सुनाई नहीं देता?
देखो वहा कौन खडा है क्या वो पिताजी है,देखो! वहाँ कौन खड़ा है? क्या वो पिताजी हैं?
सच बताओ क्या तुम वहा गए थे में सब जानता हु,"सच बताओ, क्या तुम वहाँ गए थे? मैं सब जानता हूँ।"
वाह कितना सुंदर नजारा है क्या हम यहा रुक सकते है,वाह! कितना सुंदर नज़ारा है। क्या हम यहाँ रुक सकते हैं?
हट जाओ रास्ते से गाडी आ रही है क्या तुम अंधे हो,हट जाओ रास्ते से! गाड़ी आ रही है। क्या तुम अंधे हो?
सुनो मेरी बात क्या तुम कल गाव जाओगे मा बुला रही है,सुनो मेरी बात! क्या तुम कल गाँव जाओगे? माँ बुला रही हैं।
क्या तुम जानते हो ये किसका घर है में पहली बार आया हु,क्या तुम जानते हो ये किसका घर है? मैं पहली बार आया हूँ।
ओ भाई जरा संभलकर क्या तुम देख नहीं सकते,ओ भाई! ज़रा संभलकर! क्या तुम देख नहीं सकते?
जल्दी करो देर हो रही है क्या तुम तैयार हो,जल्दी करो! देर हो रही है। क्या तुम तैयार हो?
नमस्ते क्या हाल है बहुत दिनों बाद मिले,नमस्ते! क्या हाल है? बहुत दिनों बाद मिले।
बस बहुत हुआ अब तुम चुप रहोगे क्या में सही हु,बस बहुत हुआ! अब तुम चुप रहोगे। क्या मैं सही हूँ?
क्या तुमने दरवाजा बंद किया मुझे डर लग रहा है,क्या तुमने दरवाजा बंद किया? मुझे डर लग रहा है।
राम राम भाई कैसे हो क्या सब ठीक है,राम-राम भाई! कैसे हो? क्या सब ठीक है?
देखो बादल छा गए है क्या आज बारिश होगी,"देखो, बादल छा गए हैं। क्या आज बारिश होगी?"
हे भगवान ये क्या हो गया क्या कोई वहा है,हे भगवान! ये क्या हो गया? क्या कोई वहाँ है?
चलो अब घर चलते है क्या तुम थक गए हो,"चलो, अब घर चलते हैं। क्या तुम थक गए हो?"
क्या तुमने उसे देखा वो वहा खडा था,क्या तुमने उसे देखा? वह वहाँ खड़ा था।
भाई साहब रास्ता बता दीजिए क्या ये बाज़ार जाता है,भाई साहब! रास्ता बता दीजिए। क्या ये बाज़ार जाता है?
उफ कितनी गर्मी है क्या यहा कोई पंखा है,उफ़! कितनी गर्मी है। क्या यहाँ कोई पंखा है?
क्या तुम पागल हो ये तुम क्या कह रहे हो,क्या तुम पागल हो? ये तुम क्या कह रहे हो?
संभलकर वहा गड्ढा है क्या तुम गिर गए,संभलकर! वहाँ गड्ढा है। क्या तुम गिर गए?
अच्छा तो ये बात है क्या तुम मुझसे सच बोल रहे हो,"अच्छा, तो ये बात है! क्या तुम मुझसे सच बोल रहे हो?"
क्या तुम जानते हो समय क्या हुआ है में बहुत लेट हु,क्या तुम जानते हो समय क्या हुआ है? मैं बहुत लेट हूँ।
हटो यहा से मुझे काम करने दो क्या तुम सुन रहे हो,"हटो यहाँ से, मुझे काम करने दो! क्या तुम सुन रहे हो?"
क्या तुमने खाना खाया मा रसोई में तुम्हारा इंतजार कर रही है,क्या तुमने खाना खाया? माँ रसोई में तुम्हारा इंतज़ार कर रही हैं।
भाई मेरी बात सुनो क्या तुम कल शहर जाओगे,"भाई, मेरी बात सुनो! क्या तुम कल शहर जाओगे?"
अरे तुम यहा क्या कर रहे हो क्या मा ने नहीं बुलाया,अरे! तुम यहाँ क्या कर रहे हो? क्या माँ ने नहीं बुलाया?
क्या आप जानते है कि कल छुट्टी है में ऑफिस नहीं जाउगा,क्या आप जानते हैं कि कल छुट्टी है? मैं ऑफिस नहीं जाऊँगा।
चुपचाप बैठो क्या तुम शोर मचाना बंद करोगे,चुपचाप बैठो! क्या तुम शोर मचाना बंद करोगे?
क्या तुमने देखा मा कहा गई है में तो वहा पर ही खडा था,क्या तुमने देखा कि माँ कहाँ गई हैं? मैं तो वहाँ पर ही खड़ा था।
सुनो क्या तुम मेरे साथ चलोगे मुझे काम है,सुनो! क्या तुम मेरे साथ चलोगे? मुझे काम है।
क्या तुम जानते हो ये रास्ता कहा जाता है में भटक गया हु,क्या तुम जानते हो ये रास्ता कहाँ जाता है? मैं भटक गया हूँ।
देखो वहा पानी गिर रहा है क्या तुमने नल बंद किया,देखो! वहाँ पानी गिर रहा है। क्या तुमने नल बंद किया?
क्या तुम कल आओगे मा पूछ रही थी,क्या तुम कल आओगे? माँ पूछ रही थीं।
भाई साहब जरा सुनिए क्या आप जानते है ये घर किसका है,"भाई साहब, ज़रा सुनिए! क्या आप जानते हैं ये घर किसका है?"
क्या तुमने उसे पहचाना वो वही आदमी है,क्या तुमने उसे पहचाना? वह वही आदमी है।
अजी सुनते हो क्या चाय बन गई है में बहुत प्यासा हु,अजी सुनते हो? क्या चाय बन गई है? मैं बहुत प्यासा हूँ।
क्या तुम जानते हो कि मा कहा है में उसे ढूढ रहा हु,क्या तुम जानते हो कि माँ कहाँ हैं? मैं उन्हें ढूँढ रहा हूँ।
हटो रास्ता छोडो क्या तुम देख नहीं रहे भीड कितनी है,हटो! रास्ता छोड़ो! क्या तुम देख नहीं रहे भीड़ कितनी है?
क्या तुमने खाना खाया मा ने तुम्हारे लिए बनाया है,क्या तुमने खाना खाया? माँ ने तुम्हारे लिए बनाया है।
भाई रुको क्या तुम मेरे साथ चलोगे,"भाई, रुको! क्या तुम मेरे साथ चलोगे?"
क्या आप जानते है कि में कहा हु रास्ता सुनसान है,क्या आप जानते हैं कि मैं कहाँ हूँ? रास्ता सुनसान है।
देखो बिजली कडक रही है क्या आज तूफान आएगा,"देखो, बिजली कड़क रही है। क्या आज तूफान आएगा?"
क्या तुम जानते हो कि कल क्या हुआ था में वहा नहीं था,क्या तुम जानते हो कि कल क्या हुआ था? मैं वहाँ नहीं था।
भाई जल्दी करो क्या तुम तैयार हो,"भाई, जल्दी करो! क्या तुम तैयार हो?"
क्या तुमने मा से पूछा कि वो कहा जा रही है,क्या तुमने माँ से पूछा कि वो कहाँ जा रही हैं?
नमस्ते क्या हाल चाल है सब ठीक तो है,नमस्ते! क्या हाल-चाल है? सब ठीक तो है?
क्या तुम जानते हो वह कहाँ से आया है,क्या तुम जानते हो वह कहाँ से आया है?
देखो वहा कौन है क्या कोई दरवाजा खटखटा रहा है,"देखो, वहाँ कौन है? क्या कोई दरवाजा खटखटा रहा है?"
क्या तुमने दरवाजा बंद किया है मुझे डर लग रहा है,क्या तुमने दरवाजा बंद किया है? मुझे डर लग रहा है।
भाई मेरी बात मानो क्या तुम वहा जाओगे,"भाई, मेरी बात मानो! क्या तुम वहाँ जाओगे?"
क्या तुम जानते हो ये किसका बैग है यहा कोई नहीं है,क्या तुम जानते हो ये किसका बैग है? यहाँ कोई नहीं है।
देखो चिडिया चहचहा रही है क्या सुबह हो गई,"देखो, चिड़िया चहचहा रही है। क्या सुबह हो गई?"
क्या तुमने उसे देखा वो अभी यहा से गया है,क्या तुमने उसे देखा? वह अभी यहाँ से गया है।
भाई साहब क्या आप जानते है ये कहा मिलेगा,"भाई साहब, क्या आप जानते हैं ये कहाँ मिलेगा?"
क्या तुम पागल हो गए हो ये तुम क्या कर रहे हो,क्या तुम पागल हो गए हो? ये तुम क्या कह रहे हो?
देखो वहा आग लगी है क्या कोई फायर ब्रिगेड को बुलाएगा,"देखो, वहाँ आग लगी है! क्या कोई फायर ब्रिगेड को बुलाएगा?"
क्या तुमने सुना मा क्या कह रही है,"क्या तुमने सुना, माँ क्या कह रही हैं?"
भाई रुको जरा क्या तुम मेरे साथ आओगे,"भाई, रुको ज़रा! क्या तुम मेरे साथ आओगे?"
क्या तुम जानते हो कि में कहा जा रहा हु,क्या तुम जानते हो कि मैं कहाँ जा रहा हूँ?
देखो वहा फूल खिले है क्या तुम उन्हें तोड़ोगे,"देखो, वहाँ फूल खिले हैं। क्या तुम उन्हें तोड़ोगे?"
क्या तुमने खाना खाया मा रसोई में है,क्या तुमने खाना खाया? माँ रसोई में हैं।
भाई सुनो क्या तुम कल गाव जाओगे,"भाई, सुनो! क्या तुम कल गाँव जाओगे?"
क्या आप जानते है कि दरवाजा कहा है,क्या आप जानते हैं कि दरवाजा कहाँ है?
देखो वहा पानी भर गया है क्या तुम बाहर जाओगे,"देखो, वहाँ पानी भर गया है। क्या तुम बाहर जाओगे?"
क्या तुमने उसे पहचाना वो मा का दोस्त है,क्या तुमने उसे पहचाना? वह माँ का दोस्त है।
भाई साहब क्या ये बस शहर जाती है,"भाई साहब, क्या ये बस शहर जाती है?"
क्या तुम जानते हो कि में कहा से आया हु और कहाँ जा रहा हूँ,क्या तुम जानते हो मैं कहाँ से आया हूँ और कहाँ जा रहा हूँ?
देखो वहा क्या पडा है क्या तुम उसे उठाओगे,"देखो, वहाँ क्या पड़ा है। क्या तुम उसे उठाओगे?"
क्या तुमने मा से बात की वो नाराज है,क्या तुमने माँ से बात की? वह नाराज़ हैं।
भाई रुको क्या तुमने देखा,"भाई, रुको! क्या तुमने देखा?"
क्या तुम जानते हो कि कल क्या हुआ,क्या तुम जानते हो कि कल क्या हुआ?
देखो वहा कोई चिल्ला रहा है क्या सब ठीक है,"देखो, वहाँ कोई चिल्ला रहा है। क्या सब ठीक है?"
क्या तुमने खाना बनाया मा भूखी है,क्या तुमने खाना बनाया? माँ भूखी हैं।
भाई सुनो क्या तुम मेरे साथ चलोगे,"भाई, सुनो! क्या तुम मेरे साथ चलोगे?"
क्या आप जानते है कि रास्ता कहा जाता है,क्या आप जानते हैं कि रास्ता कहाँ जाता है?
देखो वहा बहुत भीड है क्या तुम वहा जाओगे,"देखो, वहाँ बहुत भीड़ है। क्या तुम वहाँ जाओगे?"
क्या तुमने सुना वो क्या कह रहा था,क्या तुमने सुना वह क्या कह रहा था?
भाई साहब क्या आप बता सकते है ये घर किसका है,"भाई साहब, क्या आप बता सकते हैं ये घर किसका है?"
क्या तुम जानते हो कि में कहा हु,क्या तुम जानते हो कि मैं कहाँ हूँ?
देखो वहा बारिश हो रही है क्या तुम छाता लोगे,"देखो, वहाँ बारिश हो रही है। क्या तुम छाता लोगे?"
क्या तुमने दरवाजा खोला मा बाहर खडी है,क्या तुमने दरवाजा खोला? माँ बाहर खड़ी हैं।
भाई सुनो क्या तुम कल बाजार जाओगे,"भाई, सुनो! क्या तुम कल बाज़ार जाओगे?"
क्या आप जानते है कि में कौन हु,क्या आप जानते हैं कि मैं कौन हूँ?
देखो वहा कोई है क्या तुम देख सकते हो,"देखो, वहाँ कोई है। क्या तुम देख सकते हो?"
क्या तुमने उसे देखा वो अभी वहा था,क्या तुमने उसे देखा? वह अभी वहाँ था।
भाई रुको क्या तुम मेरे साथ आओगे,"भाई, रुको! क्या तुम मेरे साथ आओगे?"
क्या तुम जानते हो कि रास्ता कहा बंद है,क्या तुम जानते हो कि रास्ता कहाँ बंद है?
देखो वha क्या गिरा क्या तुमने देखा,"देखो, वहाँ क्या गिरा? क्या तुमने देखा?"
क्या तुमने खाना खाया मा इंतज़ार कर रही है,क्या तुमने खाना खाया? माँ इंतज़ार कर रही हैं।
भाई साहब क्या आप जानते है स्टेशन कहा है,"भाई साहब, क्या आप जानते हैं स्टेशन कहाँ है?"
क्या तुम्हे पता है कि में कहा जा रहा हु,क्या तुम्हें पता है कि मैं कहाँ जा रहा हूँ?
देखो वहा बादल है क्या बारिश होगी,"देखो, वहाँ बादल हैं। क्या बारिश होगी?"
क्या तुमने मा से पूछा कि वो कहा है,क्या तुमने माँ से पूछा कि वह कहाँ हैं?
भाई रुको क्या तुम मेरे साथ उधर चलोगे,"भाई, रुको! क्या तुम मेरे साथ उधर चलोगे?"
क्या आप जानते है कि कल क्या होगा,क्या आप जानते हैं कि कल क्या होगा?
हमे सुख दुख और हार जीत को एक समान समझना चाहिए,हमें सुख-दुख और हार-जीत को एक समान समझना चाहिए।
जीवन में सुख और दुख का आना जाना लगा ही रहता है,जीवन में सुख और दुख का आना-जाना लगा ही रहता है।
माँ ने कहा कि सही गलत और हार जीत तो जीवन के हिस्से हैं,माँ ने कहा कि सही-गलत और हार-जीत तो जीवन के हिस्से हैं।
हमे सही और गलत के बीच का फर्क समझकर आगे बढ़ना चाहिए,हमें सही और गलत के बीच का फर्क समझकर आगे बढ़ना चाहिए।
रात दिन काम करने से ही सुख और शांति मिलेगी,दिन-रात काम करने से ही सुख और शांति मिलेगी।
माता पिता की सेवा करना और उनका आदर करना हमारा कर्तव्य है,माता-पिता की सेवा करना और उनका आदर करना हमारा कर्तव्य है।
भाई बहन का प्यार और उनका मेल जोल हमेशा बना रहे,भाई-बहन का प्यार और उनका मेल-जोल हमेशा बना रहे।
वो बार बार वही बात दोहराता है और सबको परेशान करता है,वह बार-बार वही बात दोहराता है और सबको परेशान करता है।
कभी कभी में सोचता हूँ कि कल और आज में क्या फर्क है,कभी-कभी मैं सोचता हूँ कि कल और आज में क्या फर्क है।
यहाँ आना जाना मना है और शोर करना भी वर्जित है,यहाँ आना-जाना मना है और शोर करना भी वर्जित है।
हमे उठते बैठते और चलते फिरते भगवान का नाम लेना चाहिए,हमें उठते-बैठते और चलते-फिरते भगवान का नाम लेना चाहिए।
खाना पीना और सोना जागना समय पर होना चाहिए,खाना-पीना और सोना-जागना समय पर होना चाहिए।
चाय पानी का इंतजाम करो और मेहमानों का स्वागत करो,चाय-पानी का इंतजाम करो और मेहमानों का स्वागत करो।
खेल कूद में हिस्सा लो और अपनी सेहत का ध्यान रखो,खेल-कूद में हिस्सा लो और अपनी सेहत का ध्यान रखो।
सुख और दुख तो धूप छाँव की तरह आते जाते रहते हैं,सुख और दुख तो धूप-छाँव की तरह आते-जाते रहते हैं।
थोडा बहुत काम करो और बाकी समय आराम करो,थोड़ा-बहुत काम करो और बाकी समय आराम करो।
इधर उधर मत देखो और सीधे रास्ते पर चलो,इधर-उधर मत देखो और सीधे रास्ते पर चलो।
आस पास सफाई रखो और कचरा यहाँ वहाँ मत फेंको,आस-पास सफाई रखो और कचरा यहाँ-वहाँ मत फेंको।
दाल रोटी खाओ और प्रभु के गुण गाओ,दाल-रोटी खाओ और प्रभु के गुण गाओ।
अपना भला बुरा सोचो और फिर कोई फैसला लो,अपना भला-बुरा सोचो और फिर कोई फैसला लो।
जान पहचान के लोग और रिश्तेदार सब आए थे,जान-पहचान के लोग और रिश्तेदार सब आए थे।
कामकाज में मन लगाओ और आलस को दूर भगाओ,काम-काज में मन लगाओ और आलस को दूर भगाओ।
मेल मिलाप बढ़ाओ और नफरत को खत्म करो,मेल-मिलाप बढ़ाओ और नफरत को खत्म करो।
सोच विचार कर बोलो और कड़वा सच मत कहो,सोच-विचार कर बोलो और कड़वा सच मत कहो।
हँसी मज़ाक करो और खुशियाँ बाँटो,हँसी-मज़ाक करो और खुशियाँ बाँटो।
लेन देन का हिसाब रखो और ईमानदारी से काम करो,लेन-देन का हिसाब रखो और ईमानदारी से काम करो।
जीत हार तो खेल का हिस्सा है और इसे स्वीकार करो,जीत-हार तो खेल का हिस्सा है और इसे स्वीकार करो।
सुबह शाम टहलना और योग करना अच्छा होता है,सुबह-शाम टहलना और योग करना अच्छा होता है।
देश विदेश की खबरें और नई जानकारी हासिल करो,देश-विदेश की खबरें और नई जानकारी हासिल करो।
ऊँच नीच का भेद मिटाओ और सबको गले लगाओ,ऊँच-नीच का भेद मिटाओ और सबको गले लगाओ।
छोटा बड़ा कोई नहीं होता और सब बराबर हैं,छोटा-बड़ा कोई नहीं होता और सब बराबर हैं।
जात पाँत के झगड़े और भेदभाव खत्म होने चाहिए,जात-पाँत के झगड़े और भेदभाव खत्म होने चाहिए।
पाप पुण्य का विचार करो और नेक काम करो,पाप-पुण्य का विचार करो और नेक काम करो।
अड़ोस पड़ोस के लोग और मित्र सब मदद करते हैं,अड़ोस-पड़ोस के लोग और मित्र सब मदद करते हैं।
कूड़ा कचरा साफ़ करो और हरियाली बढ़ाओ,कूड़ा-कचरा साफ़ करो और हरियाली बढ़ाओ।
घर बार छोड़ना और सन्यास लेना आसान नहीं है,घर-बार छोड़ना और सन्यास लेना आसान नहीं है।
धन दौलत के पीछे मत भागो और शांति से जियो,धन-दौलत के पीछे मत भागो और शांति से जियो।
मार पीट करना और गाली देना बुरी बात है,मार-पीट करना और गाली देना बुरी बात है।
फल फूल और सब्जियाँ ताजी खानी चाहिए,फल-फूल और सब्जियाँ ताजी खानी चाहिए।
नदी नाले और तालाब सब भर गए हैं,नदी-नाले और तालाब सब भर गए हैं।
खेती बाड़ी करना और अनाज उगाना मेहनत का काम है,खेती-बाड़ी करना और अनाज उगाना मेहनत का काम है।
पशु पक्षी और जानवर भी प्रेम के भूखे होते हैं,पशु-पक्षी और जानवर भी प्रेम के भूखे होते हैं।
जीव जंतु और इंसान सबका भला सोचो,जीव-जंतु और इंसान सबका भला सोचो।
सीधा साधा जीवन और ऊँचे विचार रखो,सीधा-साधा जीवन और ऊँचे विचार रखो।
नया पुराना सामान और कपड़े दान कर दो,नया-पुराना सामान और कपड़े दान कर दो।
काला सफेद का भेद और रंगों का मेल देखो,काला-सफेद का भेद और रंगों का मेल देखो।
अमीर गरीब और छोटे बड़े सब एक समान हैं,अमीर-गरीब और छोटे-बड़े सब एक समान हैं।
पढ़ना लिखना और सीखना कभी बंद मत करो,पढ़ना-लिखना और सीखना कभी बंद मत करो।
लड़ाई झगड़ा छोड़ो और शांति से बात करो,लड़ाई-झगड़ा छोड़ो और शांति से बात करो।
टाल मटोल करना और बहाने बनाना छोड़ दो,टाल-मटोल करना और बहाने बनाना छोड़ दो।
चमक धमक वाली दुनिया और इसकी चकाचौंध से बचो,चमक-धमक वाली दुनिया और इसकी चकाचौंध से बचो।
भाग दौड़ भरी जिंदगी और तनाव से दूर रहो,भाग-दौड़ भरी जिंदगी और तनाव से दूर रहो।
साफ़ सुथरा घर और मन दोनों अच्छे होते हैं,साफ़-सुथरा घर और मन दोनों अच्छे होते हैं।
उलटा सीधा मत बोलो और मर्यादा में रहो,उलटा-सीधा मत बोलो और मर्यादा में रहो।
टेढ़ा मेढ़ा रास्ता और ऊँची चढ़ाई मुश्किल है,टेढ़ा-मेढ़ा रास्ता और ऊँची चढ़ाई मुश्किल है।
अकल मंदी दिखाओ और बेवकूफी मत करो,अकल-मंदी दिखाओ और बेवकूफी मत करो।
भीड़ भाड़ वाली जगह और शोर से बचो,भीड़-भाड़ वाली जगह और शोर से बचो।
सगे संबंधी और मित्र सब समारोह में आए थे,सगे-संबंधी और मित्र सब समारोह में आए थे।
रोजी रोटी कमाना और परिवार पालना कठिन है,रोजी-रोटी कमाना और परिवार पालना कठिन है।
बाल बच्चे और परिवार का ध्यान रखना चाहिए,बाल-बच्चे और परिवार का ध्यान रखना चाहिए।
रंग रूप और वेशभूषा बदल सकती है पर मन नहीं,रंग-रूप और वेशभूषा बदल सकती है पर मन नहीं।
बोल चाल का तरीका और शिष्टाचार बहुत ज़रूरी है,बोल-चाल का तरीका और शिष्टाचार बहुत ज़रूरी है।
तोड़ फोड़ करना और संपत्ति को नुकसान पहुँचाना गलत है,तोड़-फोड़ करना और संपत्ति को नुकसान पहुँचाना गलत है।
लूट पाट और चोरी की घटनाएँ बढ़ गई हैं,लूट-पाट और चोरी की घटनाएँ बढ़ गई हैं।
रोक टोक करना और सवाल पूछना अच्छी बात नहीं,रोक-टोक करना और सवाल पूछना अच्छी बात नहीं।
उलट फेर होना और बदलाव आना कुदरत का नियम है,उलट-फेर होना और बदलाव आना कुदरत का नियम है।
बढ़ा चढ़ाकर बोलना और झूठ फैलाना बंद करो,बढ़ा-चढ़ाकर बोलना और झूठ फैलाना बंद करो।
सजी धजी दुकान और ग्राहकों की भीड़ देखो,सजी-धजी दुकान और ग्राहकों की भीड़ देखो।
पढ़ा लिखा इंसान और समझदार व्यक्ति सम्मान पाता है,पढ़ा-लिखा इंसान और समझदार व्यक्ति सम्मान पाता है।
सुना सुनाया किस्सा और पुरानी बातें याद आईं,सुना-सुनाया किस्सा और पुरानी बातें याद आईं।
रुखा सूखा खाना और संतोष करना सीखो,रुखा-सूखा खाना और संतोष करना सीखो।
खट्टा मीठा फल और स्वादिष्ट व्यंजन खाओ,खट्टा-मीठा फल और स्वादिष्ट व्यंजन खाओ।
कड़वा मीठा अनुभव और जीवन की सीख याद रखो,कड़वा-मीठा अनुभव और जीवन की सीख याद रखो।
तीखा चटपटा खाना और मसालेदार चीज़ें कम खाओ,तीखा-चटपटा खाना और मसालेदार चीज़ें कम खाओ।
गहरा हल्का रंग और कपड़ों का चुनाव करो,गहरा-हल्का रंग और कपड़ों का चुनाव करो।
मोटा पतला होना और सेहत का ध्यान रखना ज़रूरी है,मोटा-पतला होना और सेहत का ध्यान रखना ज़रूरी है।
लंबा चौड़ा भाषण और बोरियत वाली बातें मत करो,लंबा-चौड़ा भाषण और बोरियत वाली बातें मत करो।
भारी भरकम बोझ और जिम्मेदारी उठाना सीखो,भारी-भरकम बोझ और जिम्मेदारी उठाना सीखो।
कच्चा पक्का मकान और गाँव की यादें ताज़ा करो,कच्चा-पक्का मकान और गाँव की यादें ताज़ा करो।
ऊँचा नीचा रास्ता और पहाड़ों की सैर करो,ऊँचा-नीचा रास्ता और पहाड़ों की सैर करो।
गीला सूखा कचरा और सफाई का ध्यान रखो,गीला-सूखा कचरा और सफाई का ध्यान रखो।
ठंडा गरम पानी और मौसम का मिजाज देखो,ठंडा-गरम पानी और मौसम का मिजाज देखो।
नरम सख्त व्यवहार और अनुशासन ज़रूरी है,नरम-सख्त व्यवहार और अनुशासन ज़रूरी है।
ताजा बासी खाना और सेहत का ख्याल रखो,ताजा-बासी खाना और सेहत का ख्याल रखो।
हल्का भारी सामान और उठाने की ताकत देखो,हल्का-भारी सामान और उठाने की ताकत देखो।
कम ज्यादा पैसे और बचत करना सीखो,कम-ज्यादा पैसे और बचत करना सीखो।
सस्ता महँगा सामान और बाजार का भाव देखो,सस्ता-महँगा सामान और बाजार का भाव देखो।
जल्दी जल्दी काम खत्म करो और घर चलो,जल्दी-जल्दी काम खत्म करो और घर चलो।
धीरे धीरे आगे बढ़ो और अपनी मंजिल पाओ,धीरे-धीरे आगे बढ़ो और अपनी मंजिल पाओ।
बार बार कोशिश करो और हार मत मानो,बार-बार कोशिश करो और हार मत मानो।
कभी कभी बाहर घूमो और ताजी हवा लो,कभी-कभी बाहर घूमो और ताजी हवा लो।
यहाँ वहाँ मत भटको और काम पर ध्यान दो,यहाँ-वहाँ मत भटको और काम पर ध्यान दो।
आस पास सफाई रखो और बीमारियाँ दूर भगाओ,आस-पास सफाई रखो और बीमारियाँ दूर भगाओ।
आमने सामने बैठकर बात करो और गलतफहमी दूर करो,आमने-सामने बैठकर बात करो और गलतफहमी दूर करो।
हाथ पैर धो लो और खाना खाओ,हाथ-पैर धो लो और खाना खाओ।
आँख कान खुले रखो और सतर्क रहो,आँख-कान खुले रखो और सतर्क रहो।
तन मन से सेवा करो और नेक इंसान बनो,तन-मन से सेवा करो और नेक इंसान बनो।
जन मन की बात सुनो और लोकतंत्र का आदर करो,जन-मन की बात सुनो और लोकतंत्र का आदर करो।
देश दुनिया की खबरें और ज्ञान बढ़ाओ,देश-दुनिया की खबरें और ज्ञान बढ़ाओ।
कल आज और कल की बातें सोचना छोड़ दो,"कल , आज और कल की बातें सोचना छोड़ दो।"
आज सुबह जब में उठा तो मा रसोई में खाना बना रही थी में उनके पास गया और पूछा कि नाश्ते में क्या है,आज सुबह जब मैं उठा तो माँ रसोई में खाना बना रही थीं। मैं उनके पास गया और पूछा कि नाश्ते में क्या है?
क्या तुम मेरे साथ कल गाव चलोगे वहा बहुत शांति है और हम सुख दुख की बाते करेंगे,क्या तुम मेरे साथ कल गाँव चलोगे? वहाँ बहुत शांति है और हम सुख-दुख की बातें करेंगे।
में जानता हु कि तुम कहा छिप सकते हो पर मा से कुछ भी छुपाना सही नहीं है,"मैं जानता हूँ कि तुम कहाँ छिप सकते हो, पर माँ से कुछ भी छुपाना सही नहीं है।"
भाई जल्दी आओ क्या तुम जानते हो कि मा तुम्हे कब से ढूढ रही है रास्ता बहुत खराब है,"भाई, जल्दी आओ! क्या तुम जानते हो कि माँ तुम्हें कब से ढूँढ रही हैं? रास्ता बहुत खराब है।"
कल रात बहुत तेज बारिश हो रही थी और में खिडकी के पास बैठा था में सोच रहा था कि क्या तुम आओगे,कल रात बहुत तेज बारिश हो रही थी और मैं खिड़की के पास बैठा था। मैं सोच रहा था कि क्या तुम आओगे?
